word,word_en,tag,phrase_fr,phrase_en
champion,champion,nadj, il deviendra un champion en un rien de temps , he will become a champion in no time 
librement,freely,adv, seuls les piétons peuvent passer librement , only pedestrians can pass through freely 
congé,"holiday, time off, day off, notice",nm," il vous faudra prendre un congé d'un mois, au moins "," you will have to take one month's vacation, at least"
taxe,tax,nf, vous payez pas de taxes. vous payez pas d'impôts , you don't pay taxes. you don't pay duties. 
onze,eleven,"det,nmi", il était onze heures du soir , it was eleven o'clock at night 
téléphoner,"to telephone, phone, call",v, j'ai essayé de vous téléphoner chez vous , I tried to telephone you at your place 
serrer,"to tighten, squeeze",v, elle serre les mains , she clenches her fists 
caractériser,to characterize,v, une époque ne se caractérise pas seulement par ses idées , an era is not only characterized by its ideas
préparation,preparation,nf, un document à ce sujet est en préparation , a document on this subject is in preparation 
inverse,"opposite, reverse",nadj(f), c'est l'inverse de ce que tu m'as raconté , it's the exact opposite of what you told me 
intituler,"to entitle, call",v, la séquence s'intitulera «Cinq minutes pour survivre» ," the sequence was entitled ""Five minutes of survival"""
possession,"possession, ownership",nf, il était en possession de matériel d'intérêt , he had targeted materials in his possession 
rejet,rejection,nm, le Soudan réaffirme son rejet absolu des menaces , the Sudan reiterates its categorial rejection of threats
enseignant,teacher,nadj, le métier d'enseignant n'est pas un métier comme les autres , the teacher's job is like none other
avérer,"to prove to be, turn out",v," cette explication s'avéra la bonne, par la suite ", this explanation turned out the be the right one
papa,"dad, daddy",nm, je t'aime aussi papa , I love you too daddy 
collaborateur,"associate, fellow worker, contributor, collaborator",nm, je remercie donc tous les collaborateurs , so I thank all of the collaborators 
gêner,"to bother, trouble",v," tu vois, tu gênes tout le monde "," you see, you bother everybody "
technicien,technician,nm," il faut des experts, des techniciens "," we need experts, technicians "
cycle,cycle,nm, le cycle de la violence peut être enrayé , the cycle of violence can be broken 
accumuler,"to accumulate, amass, store, stockpile",v, les bombes atomiques s'accumulent , atomic bombs are being stockpiled 
sauvage,"savage, wild",nadj(f), c'étaient des oiseaux sauvages , they were wild birds 
alcool,alcohol,nm, limitez votre consommation d'alcool et de sucre , limit your intake of alcohol and sugar 
prétexte,pretext,"nadj(f),nm", je pris prétexte de mon travail pour suspendre ces séances , I used my job as an excuse to stop these meetings
impressionnant,"impressive, upsetting",adj, la science évolue à une vitesse impressionnante , science is evolving at an impressive speed 
scénario,"scenario, script",nm," j'ai reçu le scénario, je l'ai lu et j'ai adoré "," I received the screenplay, I read it, and I loved it "
électricité,electricity,nf, tu t'y connais en électricité? non , do you know anything about electricity? no 
gratuit,"free, gratuitous, unwarranted",adj," hé, un spectacle gratuit! "," hey, a free show! "
révolutionnaire,revolutionary,nadj(f), je veux mourir en révolutionnaire , I want to die as a revolutionary 
jambe,leg,nf," elle s'assit, croisa les jambes, alluma une cigarette "," she sat, crossed her legs, lit a cigarette "
insuffisant,"insufficient, inadequate",adj, ce que nous avons accompli reste insuffisant , what we accomplished is still inadequate 
privilège,privilege,nm, nous avons des droits et des privilèges , we have rights and privileges 
week-end,weekend,nm," que fais-tu, ce week-end? ", what are you doing this weekend? 
équivalent,equivalent,nadj, cela n'a pas d'équivalent avec les autres pays , this has no equivalent in the other countries 
regrouper,"to group together, regroup",v, le ministre des Finances a regroupé tout ça dans un seul programme , the finance minister regrouped all of that in a single program
invité,guest,nm, les invités les plus attendus ne sont pas venus , the most-anticipated guests didn't show up 
militant,militant,nadj, nous ne sommes militants d'aucune organisation politique , we are not the militants of any political organization
participant,participant,nadj, il y avait une cinquantaine de participants , there were some fifty participants 
blessure,"injury, wound",nf, ces problèmes sociaux sont des blessures qui ne sont pas encore guéries , these social problems are wounds that remain unhealed
privilégier,to favour,v, il refuse de privilégier les insurgés cubains! , he refuses to legitimize the Cuban insurgents 
midi,noon,nm, mon père rentre pour le repas de midi , my father's going home for lunch 
disque,disc,nm, nous écoutions des disques en buvant du whisky , we listened to records while drinking whisky
couche,"layer, coat",nf, la couche d'ozone n'était pas menacée , the ozone layer wasn't threatened 
dater,to date,v, le dernier film concerné date de 1990 , the last relevant film was made in 1990 
habituer,"to accustom, get used to",v," on s'habitue à tout, quand on est obligé ", you can get used to anything when you have to 
inévitable,"unavoidable, inevitable",adj(f), le terrorisme n'est jamais inévitable , terrorism is never inevitable 
recommencer,"to resume, start again",v," recommence depuis le début, s'il te plaît "," start again from the beginning, please "
race,"breed, race",nf, elle n'est pas de ta race , she's not of your race 
vivement,"sharply, brusquely, lively",adv, le groupe socialiste soutient vivement tous les amendements , the socialist group strongly supports all the amendments
beauté,beauty,nf, je veux leur montrer la beauté de ma langue , I want to show them the beauty of my language 
atmosphère,atmosphere,nf, j'aime bien l'atmosphère des pubs , I really like the atmosphere in pubs 
épaule,shoulder,nf, je déteste regarder par-dessus mon épaule , I hate looking back over my shoulder 
amoureux,"in love, amorous",nadj(pl)," moi, j'ai toujours été amoureux de toi ", I have always been in love with you 
circonscription,"district, constituency",nf, je viens d'une circonscription qui repose sur l'industrie de la forêt , I come from an electoral district that relies on the forest industry
debout,standing,adv," je ne peux pas rester debout, sans rien faire "," I can't remain standing, doing nothing "
influencer,to influence,v, je n'influence pas la politique , I don't influence politics 
recul,"backward movement, setback, slip",nm," sur un an, le recul du chômage atteint 5 % "," in one year, the slip in unemployment reaches 5% "
mortel,"mortal, deadly, lethal",nadj, nous ne sommes que mortels. nous sommes tous humains , we're only mortals. we're all humans.
flux,flow,nm(pl), les flux mondiaux de migration se sont énormément développés , worldwide migration flows have developed enormously
horizon,"horizon, skyline",nm, mes yeux parcoururent cet horizon désert , my eyes surveyed this desert horizon 
délivrer,"to set free, rid, relieve",v, il était temps de se délivrer de ce poids , it was time to get rid of that burden 
subvention,subsidy,nf, nous accordons des subventions à l'industrie , we provide subsidies to industry 
formel,"formal, definite",adj," la morale, quand elle est formelle, dévore "," morality, when it is formal, devours "
aggraver,"to worsen, aggravate",v, tous ces facteurs aggravent la situation , all of these factors aggravate the situation 
lait,milk,nm, va prendre un verre de lait et fais tes devoirs , go get a glass of milk and do your homework 
alimenter,"to feed, supply",v, j'alimentais ma peur en mangeant , I fed my fears by eating 
intelligent,"intelligent, clever, bright",adj, c'est un gars très intelligent , he's a very intelligent guy 
équilibrer,to balance,v," pour être équilibrées, elles doivent être négociées "," to be balanced, they have to be negotiated "
bibliothèque,library,nf, il y avait une grande bibliothèque , there was a large library there 
absurde,absurd,nadj(f), cela semble tout à fait absurde , this seems completely absurd 
océan,ocean,nm, il repose au fond de l'océan , it's sitting on the bottom of the ocean 
quelques-uns,"some, a few",pro, j'ai retrouvé quelques-uns de ces poèmes , I recovered some of these poems 
dicter,"to dictate, lay down",v," écris ce que je te dicte, mot pour mot "," write down what I dictate to you, word for word "
tenant,"tenant; incumbent, holder",nadj," à ma gauche, le tenant du titre "," on my left, the record-holder "
stable,stable,adj(f), l'univers est stable et l'homme y aura toujours sa place , the universe is stable and mankind will always have its place
capitaine,captain,nm, il est mort. le capitaine est mort , he died. the captain is dead 
solliciter,"to request, solicit, appeal",v, elle sollicite un visa pour aller à La Mecque , she applied for a visa to go to Mecca 
convoquer,"to call, summon",v, vous serez convoquée au commissariat , you will be summoned to the police office 
prévention,"prevention, custody",nf, nous faisons de la prévention auprès des jeunes enfants , we're being preventive with our young children
terrestre,"land, earth",adj(f), les frontières terrestres et les aéroports sont fermés , the border crossings and airports are closed
utilisateur,user,nadj, éditez le dictionnaire utilisateur pour le réduire à 10.000 mots maximum ," edit the user dictionary to reduce it to at most 10,000 words"
obligatoire,"mandatory, compulsory",adj(f), la quarantaine est obligatoire , the forty-hour work week is mandatory 
terminal,terminal,nadj, il demande une nouvelle retransmission au terminal sémaphore distant , it requires a new retransmission to the remote signal terminal
choquer,"to shock, offend, shake, disturb",v," personnellement, ces mesures ne me choquent pas "," personally, these measures don't shock me"
primaire,primary,nadj(f), un hôpital et une école primaire ont été détruits , a hospital and an elementary school were destroyed
vital,vital,adj, surveille les signes vitaux , keep an eye on the vital signs 
destinée,"fate, destiny",nf," notre destination, c'est aussi notre destinée ", our destination is also our destiny 
patrimoine,"heritage, assets",nm, vous voulez protéger une partie de votre patrimoine , you want to protect a part of your heritage
conforme,conform,adj(f), la construction était conforme aux plans produits , the construction followed the specifications
adjoint,"assistant, deputy",nadj," choisissez un adjoint. deux, si besoin est ", choose an assistant. two if there's a need 
ultime,ultimate,adj(f), cette station est à présent l'ultime puissance de l'univers , this station is currently the ultimate power of the universe
intégration,integration,nf, les immigrants ont payé leur intégration au prix fort , the immigrants payed dearly for their integration
rarement,"rarely, seldom",adv, ma mère me punissait rarement , my mother rarely punished me 
couler,"to flow, run, sink",v, elle regardait silencieusement couler ces larmes , she watched tears flow silently 
diversité,diversity,nf," la richesse de la France, c'est sa diversité culturelle ", France's richness is its cultural diversity 
amuser,to amuse,v, il faut s'amuser un peu dans la vie , you have to have a little fun in life 
complémentaire,"complementary, supplementary",adj(f), j'ai des informations additionnelles et complémentaires à fournir , I have additional and complementary information to present
satisfaisant,"satisfactory, satisfying",adj, je ne trouvais pas d'emploi satisfaisant en région , I wasn't finding any satisfying work in the area
accueil,"welcome, reception",nm, l'émission a reçu un très bon accueil , the broadcast was very well received 
camion,truck,nm, ils ont trouvé le camion stationné à l'extérieur , they found the truck parked outside 
douloureux,"painful, grievous, distressing",adj(pl), les témoignages étaient douloureux à entendre , the testimony was sometimes painful to listen to
glisser,"to slide, slip",v, il glisse sa main dans sa poche , he slips his hand into his pocket 
prêtre,priest,nm, le prêtre lève alors les bras au ciel , then the priest raises his arms to the heavens 
indication,indication,nf, suis mes indications à la lettre , follow my instructions precisely 
exagérer,"to exaggerate, overdo",v, peut-être a-t-on tout simplement exagéré , maybe we just exaggerated 
décès,death,nm(pl), le suicide est une forme de décès , suicide is a form of death 
parisien,Parisian,nadj," ils vivent en France, banlieue parisienne "," they live in France, in the Paris suburbs "
psychologique,psychological,adj(f)," son état était psychologique, pas physique "," his condition was psychological, not physical "
réviser,"to review, revise, overhaul",v, j'ai révisé votre plan de vol , I revised your flight plan 
profil,"profile, outline, contour",nm, il n'a pas le profil du Père Noël , he doesn't have the profile of Santa Claus 
rater,"to miss, misfire",v, vous avez raté tout l'opéra , you missed the whole opera 
respectif,respective,adj, nous ne parlerons plus de nos amours respectives , we will no longer speak of our respective loves
tranquille,quiet,adj(f)," laisse-le tranquille, reste tranquille "," leave it alone, settle down "
registre,"log, register, registry",nm, nous avons réclamé un registre des délinquants sexuels , we have called for a sexual offenders registry
contemporain,contemporary,nadj, ce n'était pas un langage contemporain , it wasn't a modern language 
exclusif,"exclusive, sole",nadj, je suis son amour exclusif , I'm his only love 
performance,performance,nf, la performance d'hier est simplement fa-buleu-se , yesterday's performance was simply fabu-lous! 
angle,"angle, point of view",nm, on a fait l'analyse sous deux angles , the analysis was made from two angles 
divorce,divorce,nm, 70 % des divorces sont motivés par la toxicomanie du conjoint , 70% of divorces are caused by drug addiction
fermeture,closing,nf, c'est l'heure de fermeture. la piscine est fermée , it's closing time. the pool's closed 
affaiblir,to weaken,v," il ne mange rien, il s'affaiblit "," he's not eating anything, he's weakening "
constamment,"constantly, continuously, consistent",adv, notre corps bouge constamment , our body moves constantly 
horreur,horror,nf, j'ai horreur des silences pesants , I abhor pregnant silence 
envahir,"to invade, overrun",v, un désespoir sinistre envahissait son esprit , a dark despair invaded her mind 
pétrolier,oil; oil tanker,nadj, des dizaines de sites pétroliers sont occupés , dozens of oil rigs have been occupied 
faculté,"ability, right, option; faculty, university",nf, sa faculté de travail est énorme , his capacity for work is enormous 
brillant,brilliant,"adj,nm"," en plus, c'est une personnalité brillante, intelligente, sympathique "," moreover, he's a brilliant, intelligent, likable person"
pacte,"pact, treaty",nm, il y avait un pacte entre nous , there was a pact between us 
suspect,"suspicious, suspect",nadj, les suspects sont armés et très dangereux , the suspects are armed and very dangerous 
lent,slow,adj, un prêtre s'avance à pas lents , a priest walked slowly forward 
assistance,"attendance, assistance",nf, il a été chaudement applaudi par l'assistance , he was warmly applauded by the audience 
négliger,to neglect,v, il ne faut négliger absolument aucun détail , absolutely no detail must be overlooked 
injuste,"unfair, unjust",adj(f), ce qui leur arrive ainsi est injuste , what happens to them is unjust 
plaider,to plead,v, il vous a envoyé plaider sa cause? , he sent you to plead his case? 
récompenser,"to reward, recompense",v, il récompensait mes efforts d'un compliment , he rewarded my efforts with a compliment 
suppression,"deletion, suppression",nf, Lucent avait annoncé la suppression de 900 emplois , Lucent announced a reduction of 900 jobs
coupure,"cut, cutting",nf, il y a eu une coupure de courant , there was a power blackout 
glace,"ice, ice cream; mirror",nf, j'aime manger des glaces , I like eating ice cream cones 
gare,"station, railway station; beware","intj,nf", on retrouve le mec à la gare , the guy was found at the train station 
drapeau,flag,nm, le drapeau est plus qu'un simple bout de tissu , the flag is more than a simple piece of cloth 
réparer,"to repair, fix, correct, make up",v, il est plombier. il répare les conduites d'eau , he's a plumber 
sensibilité,"sensitivity, sensibility",nf, mettons ta sensibilité à l'épreuve , let's put your good sense to the test 
jaune,yellow,"adv,nadj(f)", ils regardent avec confiance les murs jaunes , they look confidently at the yellow walls 
existant,existing,adj, cela constitue une atteinte aux traités existants , this is an attack on existing treaties 
procureur,prosecutor,nm," Michael était procureur adjoint, à l'époque ", Michael was a deputy prosecutor at the time 
informatique,"computer science, computing",nadj(f), je veux faire mon bac en informatique , I want to get a bachelor's degree in computer science 
restriction,restriction,nf, nous sommes aussi en faveur de cette restriction , we're also in favor of this restriction 
pacifique,"peaceful, peace-loving",adj(f), il est retombé dans l'Océan pacifique , it sank into the Pacific Ocean 
bête,"animal, beast; stupid",nadj(f), laissez cette petite bête tranquille , let this little critter alone 
indicateur,indicator,nadj, on se réfère aux indicateurs entrée des commandes , check the data input lights 
racine,root,nf, il n'a jamais oublié ses racines , he never forgot his roots 
compenser,"to compensate for, make up for",v, le gouvernement entend-il compenser totalement ces pertes? , does the government intend to totally compensate for these losses?
maritime,maritime,adj(f), je viens d'une ville maritime , I come from a maritime city 
gravité,"seriousness, solemnity, graveness, gravity",nf," la gravité, ce n'est pas vraiment mon style ", seriousness is not really my style 
pénétrer,to penetrate,v, il est très difficile de pénétrer dans le monde des vraies gitanes , it's very difficult to penetrate the world of real Gypsies
civilisation,civilization,nf, on cherchait des signes de civilisation , we were looking for signs of civilization 
rouler,to roll,v, il est difficile de réfléchir en roulant , it's difficult to reflect on things while driving 
technologique,technological,adj(f), il en résultera un influx technologique , this will result in a technological explosion 
heurter,"to strike, hit, collide",v, j'ai heurté la voiture de ma femme , I collided with my wife's car 
football,"football, soccer",nm, j'ai beaucoup joué au football , I played a lot of soccer 
décevant,disappointing,adj, je trouvais très décevants les commentaires de nos journaux , I was very disappointed by the commentary in our newspapers
législation,legislation,nf, une législation européenne serait libérale par définition , a European law would be liberal by definition
approprier,"to adapt, appropriate, take over",v, dommage que les touristes anglais se l'approprient , too bad the English tourists have taken it over
tactique,"tactics, tactical",nadj(f), les Allemands avaient changé de tactique , the Germans changed tactics 
thèse,"thesis, argument",nf, vous avez publié cette thèse? , did you publish this thesis? 
acceptable,"acceptable, satisfactory",adj(f), une personne doit avoir un revenu acceptable , a person must have a decent income 
surgir,to spring up,v, de Transylvanie surgit un chevalier roumain , from Transylvania a Romanian knight suddenly appeared
prince,prince,nm, je suis une princesse et je dois épouser un prince , I'm a princess and I must marry a prince 
vidéo,video,"adji,nf", montre-lui tes nouveaux jeux vidéo , show him your new video games 
semer,"to sow, scatter, spread",v, ça sème la confusion dans l'esprit des gens , it sows confusion in people's minds 
créateur,creator,nadj, il faut que les créateurs d'entreprises deviennent des employeurs , entrepreneurs must become employers
partenariat,partnership,nm, nous pouvons renforcer notre partenariat , we can strenghten our partnership 
file,"line, queue",nf, les fichiers seront placés dans la file d'attente , the files were placed in the queue 
chômeur,unemployed person,nm, je me suis retrouvé plus ou moins chômeur , I found myself more or less unemployed 
correct,correct,adj," d'accord, ça me paraît correct "," OK, that seems correct to me "
cuisine,"cooking, kitchen",nf, je croyais que tu aimais la cuisine chinoise , I thought you liked Chinese food 
succéder,"to succeed, take over",v, il est extrêmement difficile de lui succéder , it's extremely difficult to take over his position 
royaume,kingdom,nm," au début, son royaume était de taille moyenne "," at first, his kingdom was of average size "
rebelle,"rebel, rebellious",nadj(f), la bande rebelle n'échappera pas à la justice , the rebel band will not escape justice 
provenance,"origin, strange",nf, les investissements en provenance de l'extérieur diminuent , investments from abroad are decreasing
fumer,to smoke,v, j'ai déjà fumé deux cigarettes , I had already smoked two cigarettes 
dessin,"drawing, pattern, design",nm, vous aimez les dessins animés? , do you like cartoons? 
viande,meat,nf," depuis, je ne mange plus de viande "," since then, I don't eat any meat "
paramètre,parameter,nm, le commutateur d'origine fixe les paramètres , the master switch sets the parameters 
gré,liking,nm, je vous sais gré de votre compréhension , I am grateful that you have understood 
dessous,"underneath, below, bottom, underside","adv,nm(pl),prep", il retira la main de dessous sa chemise , he pulled his hand out from underneath his shirt 
voyageur,traveler,nadj, c'est un voyageur chevronné , he's an accomplished traveler 
réaliste,"realist, realistic",nadj(f), la reproduction est absolument réaliste , the reproduction is absolutely realistic 
condamnation,condemnation,nf, le jury doit prononcer sa condamnation vendredi , the jury must sentence him on Friday 
similaire,similar,adj(f), les relevés indiquent une atmosphère similaire à la nôtre , the statements point to an atmosphere similar to ours
employeur,employer,nm, l'employeur et les employés ont tous deux contribué , both the employers and the employees contributed
paysage,"landscape, scenery, countryside",nm, ma bibliothèque est mon paysage mental , my library is my mental countryside 
discret,"discreet, tactful, quiet",adj, ils voulaient un mariage discret , they wanted to have a low-key marriage 
longueur,length,nf, la longueur d'un document d'opérateur est arbitraire , the length of an operator's manual is arbitrary
lentement,slowly,adv, il se mit à rouler lentement le long du trottoir , he started rolling slowly along the sidewalk 
miracle,miracle,nm, les miracles arrivent tous les jours , miracles happen every day 
déboucher,"to unblock, uncork",v, il déboucha la bouteille et nous servit , he uncorked the bottle and served us 
illégal,illegal,adj, je veux m'assurer que cela devienne illégal , I want to be sure that this becomes illegal 
expansion,expansion,nf, on est dans une ère d'expansion , we're in an era of expansion 
mutuel,mutual,adj, c'est un accord obtenu par consentement mutuel , it's an agreement obtained by mutual consent
sage,"wise, good, sound, sensible",nadj(f), vous avez pris une sage décision , you have made a wise decision 
commandement,"command, order, commandment",nm, vous avez transgressé le premier commandement , you have broken the first commandment 
correspondant,correspondent,nadj, pas un envoyé spécial mais un correspondant permanent , not a special envoy but a permanent correspondent
grimper,"to climb, go up",v, tu peux grimper à la corde? , can you climb a rope? 
pause,"break, pause",nf, nous allons prendre une pause pour le déjeuner , we're going to take a break for lunch 
répartition,"distribution, spreading",nf, je suis pour la répartition des tâches , I'm for dividing up the tasks 
sacrifier,"to sacrifice, give away",v, il sacrifiera sa vie pour sauver la tienne , he sacrificed his life to save yours 
chimique,chemical,adj(f), aujourd'hui ce qui est chimique est ressenti comme dangereux , today what's chemical is felt to be dangerous
compétition,competition,nf, la compétition est donc très ouverte et féroce , the competition is thus very open and ferocious
combiner,"to combine, devise",v, vous avez réussi à combiner écologie et rentabilité , you have succeeded in combining ecology and profitability
touriste,tourist,"nm,nf", suis-moi et joue les touristes , follow me and pretend to be tourists 
ravir,"to delight, rob",v, je suis ravi de vous voir , I'm thrilled to see you 
pardon,forgiveness,nm, je suis venu pour te demander pardon , I came to ask your forgiveness 
filet,"dribble, trickle, wisp, streak, thread, fillet, net",nm, le navire a même coupé ses filets , the boat even cut his nets 
atomique,atomic,adj(f), comment survivre à une attaque atomique? , how can one survive an atomic attack? 
contribuable,taxpayer,"nm,nf", ces études sont financées par les contribuables , these studies are financed by the taxpayers 
progressivement,progressively,adv, il commença à perdre progressivement la vue , he gradually began to lose his sight 
progression,progression,nf, ces capacités sont en faible progression , these capacities are progressing weakly 
nez,nose,nm(pl), le sang coulait de son nez sur ses vêtements , blood flowed from his nose onto his clothing 
antérieur,"previous, earlier, front",nadj, j'ai connu le système judiciaire antérieur , I knew the previous judiciary system 
inacceptable,unacceptabe,adj(f)," selon nous, c'est totalement inacceptable "," according to us, that's totally unacceptable "
progressif,progressive,adj, nous avons effectivement un système progressif , we do indeed have a progressive system 
adhésion,"membership, support",nf, l'adhésion des États candidats à l'Union européenne , membership of the candidate states in the European Union
portrait,"portrait, photograph",nm, il nous dit que nous sommes les portraits de Dieu , he told us we are portraits of God 
détailler,to detail,v, j'ai reçu une lettre détaillée , I received a detailed letter 
valable,valid,adj(f)," comme toute histoire valable, celle-ci concerne une fille "," like every worthwhile story, this one is about a girl"
coordination,coordination,nf, la coordination est considérée comme un problème de gestion , coordination is considered a management problem
sportif,"sports, athletic, competitive",nadj, il est jeune et sportif , he's young and athletic 
rose,rose; pink,"nadj(f),nf", j'ai regardé le ciel tout rose derrière les arbres noirs , I watched the pink sky with black trees in the foreground
quête,"quest, pursuit, collection",nf," au lycée, la quête de popularité est une guerre "," in high school, the pursuit of popularity is warfare"
compromis,"compromise, agreement",nm(pl), la vie est un compromis , life is a compromise 
investisseur,investor,nm, les investisseurs semblaient satisfaits par les résultats , the investors seemed satisfied by the results
présumer,"to presume, assume",v, je présume que vous êtes carnivore , I assume you're a carnivore 
abandon,"abandonment, desertion, withdrawal",nm, c'est ce qu'on appelle un abandon de poste , that's what you call dereliction of duty 
identique,identical,adj(f), les circonstances sont identiques , the circumstances are identical 
exploser,"to explode, blow up",v, trois bombes ont successivement explosé mercredi matin , three bombs exploded successively Wednesday morning
mensonge,lie,nm, j'en ai marre de vos mensonges , I'm fed up with your lies 
défaite,defeat,nf," malgré la défaite, la foule a ovationné l'équipe "," in spite of the defeat, the crowd gave the team a standing ovation"
meurtrier,"murderer, deadly, lethal",nadj, je serai la meurtrière de mon mari , I will be the murderer of my husband 
rigoureux,"rigorous, harsh, strict",adj(pl)," il est méthodique, rigoureux et, pire que tout, patient "," he is methodical, rigorous, and worst of all patient"
mentir,to lie,v, je t'ai menti. je t'ai caché des choses , I lied to you. I hid things from you 
fréquent,frequent,adj, les visites peuvent être plus fréquentes , the visits can be more frequent 
œuf,egg,nm, n'oublie pas de chercher tes œufs de Pâques , don't forget to look for your Easter eggs 
ambassadeur,ambassador,nm, le Pakistan renvoie un ambassadeur en Inde , Pakistan is sending its ambassador back to India
observateur,"observer, observant",nadj, je suis un observateur clinique de la comédie humaine , I'm a clinical observer of human comedy
revêtir,"to take on, assume",v, on revêt les nouvelles lunettes de soleil , you put on the new sunglasses 
accessoire,accessory,nm, on ne vend ni ski ni accessoire , we don't sell skis or accessories 
acquisition,"acquisition, acquire, purchase",nf, nous ne souhaitons ni fusion ni acquisition , we don't want a merger or an acquisition 
tournée,"tour, round",nf, c'est la dernière tournée. le bar va fermer , that's the last round. the bar's going to close 
tranche,"slice, edge, section, bracket, slot",nf, il tient une tranche serrée dans sa main , he's holding a slice tightly in his hand 
plage,beach,nf, il marchait pieds nus sur la plage , he walked barefoot along the beach 
inspecteur,inspector,nm, tu seras un excellent inspecteur , you will be an excellent inspector 
tempête,"storm, gale, turmoil",nf," la tempête se calme, j'ai l'impression "," the storm is dying down, I think "
tissu,"fabric, material, cloth, tissue, woven",nadj, j'ai fait des dessins sur le tissu de vieux rideaux , I made drawings on the cloth from old curtains
souverain,"sovereign, supreme ruler, monarch",nadj, ce sera le 66e séjour du souverain pontife à l'étranger , this will be the 66th stay abroad for the sovereign pontiff
distinct,distinct,adj, Henri et moi nous étions deux êtres distincts , Henri and I were two separate beings 
survie,survival,nf, je peux calculer vos chances de survie , I can calculate your chances for survival 
repousser,"to push away, postpone",v," elle m'a repoussée, elle s'est jetée sur l'herbe "," she pushed me away, she threw herself on the lawn"
adaptation,adaptation,nf, je fais surtout des adaptations d'auteurs étrangers , I mostly do adaptations based on foreign authors
plante,plant,nf, tu es une belle plante. tu es la fleur de ma passion , you're a beautiful plant passion.
nuire,to harm,v, ils nuisent à la santé , they are harmful to one's health 
putain,"whore, bitch; stupid",nf, putain mais qu'est-ce que tu fais? ," what're you doin', stupid? "
imagination,imagination,nf, mon imagination folle m'a trompée , my foolish imagination deceived me 
accusé,defendant,nadj, l'accusé devra remettre son passeport , the accused must surrender his passport 
repérer,"to spot, pick out, locate, find",v," ils ont repéré le tireur, vers le sud "," they located the sniper, towards the south "
directive,guideline,nf, tout est prêt. j'attends vos directives , everything's ready. I await your orders 
rural,rural,nadj, les régions rurales constituent un genre de refuge , rural regions are a kind of refuge 
persister,"to persist, keep up, linger",v, vous persistez à vouloir faire votre devoir? , do you still want to do your duty? 
coalition,coalition,nf, un soldat de la coalition a été blessé dans l'opération , a coalition soldier was injured during the operation
diplomatique,diplomatic,nadj(f), nous préférons une solution diplomatique , we prefer a diplomatic solution 
excellence,excellence,nf, celle-ci sera un centre d'excellence , this one will be a center of excellence 
apparence,appearance,nf, les apparences sont trompeuses , appearances are deceiving 
oriental,Oriental,nadj, il portait de somptueux vêtements orientaux , he wore sumptuous Oriental clothing 
écriture,writing,nf," l'écriture, c'est un besoin pour moi ", writing is a need that I have 
parcours,"journey, course, route",nm(pl), je suis en bout de parcours , I'm at the end of a journey 
républicain,republican,nadj, vous votez démocrate ou républicain? , are you voting Democrat or Republican? 
embarquer,"to embark, board, take on board, load",v, les hommes chantaient en embarquant sur les navires anglais , the men sang while boarding the English ships
révolte,revolt,nf, ma raison d'écrire naît de la révolte , my reason for writing began in the rebellion 
intéressé,"concerned, involved",nadj, je ne m'étais jamais vraiment intéressé à la question , I wasn't ever really interested in the question
formidable,"tremendous, considerable",adj(f), j'ai fait quelques rencontres formidables , I had some tremendous meetings 
tas,"pile, lots of",nm(pl), ça explique des tas de choses , that explains lots of things 
déjeuner,lunch; to have lunch,"nm,v", nous achevons de déjeuner à la française , we have just finished eating a French lunch 
disputer,to dispute,v, nous avons tort de nous disputer ainsi , it's wrong for us to quarrel like this 
élite,elite,nf, l'élite se définissait selon lui par l'intelligence ," according to him, the elite are defined by intelligence"
malheur,misfortune,nm, je n'aime pas profiter du malheur des autres , I don't like to profit from the misery of others 
aube,"dawn, daybreak",nf," il était parti avant l'aube, comme un fuyard "," he left before dawn, like a runaway "
salon,"lounge, living room",nm, nous étions assis dans le grand salon , we were sitting in the large living room 
infliger,to inflict,v, désolée de devoir vous infliger ça maintenant , sorry to have to inflict this upon you now 
repos,rest,nm(pl), ça faisait trois heures de repos , the rest was three hours long 
déranger,"to disturb, bother",v, ça vous dérange si je m'assieds? , will it bother you if I sit down? 
inhabituel,unusual,adj, nous nous trouvons dans une situation inhabituelle , we find ourselves in an unusual situation 
interdiction,"ban, banning",nf, cette interdiction s'applique aux télévisions , this ban applies to televisions 
consentir,"to consent, agree",v, les syndicats ont consenti une réduction des salaires , the unions agreed to a salary reduction 
variable,variable,nadj(f)," c'est très variable, ça dépend "," it's quite variable, it depends "
médecine,"medecine, medical science",nf, deux étudiants en médecine suédois m'écrivaient , two Swedish medical students wrote me 
contradictoire,"contradictory, conflicting",adj(f), la colonisation française fut un processus contradictoire , French colonization was a contradictory process
exclusivement,"exclusively, solely",adv, ils avaient des ventes exclusivement au Japon , they had sales exclusively in Japan 
cible,target,nf, les cibles des terroristes représentaient les symboles du capitalisme , terrorist targets represented the symbols of capitalism
détenu,prisoner,nadj, le pourcentage de détenus séropositifs est très élevé , the percentage of HIV-positive detainees is very high
volontiers,"with pleasure, willingly, gladly",adv, je serais volontiers mort dans cette maison , I would gladly die in this house 
fauteuil,"armchair, seat",nm, j'étais assis dans ce fauteuil , I was sitting in this armchair 
couloir,"corridor, aisle",nm, j'emprunte le couloir , I'm taking the hallway 
enthousiasme,"enthusiasm, enthusiastically",nm, l'enthousiasme fit place à une méfiance extrême , enthusiasm gave way to extreme distrust 
télé,TV,nf," on n'avait pas de télé, de CD, de DVD "," we had no TV, no CD player, no DVD player "
